Row type,is in use,comment,English,Spanish,French,Portuguese,Arabic,Swahili,Chichewa,Kinyarwanda,Ndebele,Shona,Kirundi,Malagasy,Nepali,Urdu,Kichwa/Quichua,Russian,Zulu,Tigrinya,Tajik,Kurdish,Khmer,Uzbek,Karakalpak,Indonesian,Sinhala,Tamil,Bengali,Dari,Pashto,Hindi,Ukraine
Language,,,English,Spanish,French,Portuguese,Arabic,Swahili,Chichewa,Kinyarwanda,Ndebele,Shona,Kirundi,Malagasy,Nepali,Urdu,Kichwa/Quichua,Russian,Zulu,Tigrinya,Tajik,Kurdish,Khmer,Uzbek,Karakalpak,Indonesian,Sinhala,Tamil,Bengali,Dari,Pashto,Hindi,Ukraine
ll-LL,,,en,es,fr-CG,pt-MZ,ar-MA,sw-KE,ny-MW,rw-RW,nr-ZW,sn-ZW,rn-BI,mg-MG,ne-NP,ur-PK,qu-EC,ru-RU,zu-ZA,ti-ET,tg-TJ,ku,km-KH,uz-UZ,kaa,id,si,ta,bn-BN,prs,ps,hi,uk
ll,,,en,es,fr,pt,ar,sw,ny,rw,nr,sn,rn,mg,ne,ur,qu,ru,zu,ti,tg,ku,km,uz,kaa,id,si,ta,bn,prs,ps,hi,uk
Region,,,English,Latin America,"West African, DRC","Angola, Mozambique",Morocco,Kenya,"Malawi, Zambia",Rwanda,Zimbabwe,Zimbabwe,Burundi,Madagascar,Nepal,Pakistan,Ecuador,Russia,South Africa,Ethiopia,Tajikistan,Sorani,Cambodia,Uzbekistan,Karakalpakstan,Indonesia,Sri Lanka,Sri Lanka,Bangladesh,Afghanistan,Afghanistan,India,Ukraine
Section,,,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Homepage,Головна
,,,Polls,Encuestas,Sondages,Votações,استطلاعات الرأي,Utafiti,Kafukufuku ofunsa maganizo a anthu,Amatora,Ikhetho,Sarudzo,Amatora,Fitsapan-kevitra,चुनावहरू,پولز,Tapuykuna,Голосования,Ukuvota,መረጻታት,Назарсанҷиҳо,دەنگدانەکان,ការបោះឆ្នោតស្ទង់មតិ,Tanlovlar,Sorawnama,Jajak pendapat,,,,,,,Опитування
,,,Surveys,Cuestionarios,Enquêtes,Inquéritos,الدراسات الإستطلاعية,Uchunguzi,Kafukufuku okhala ndi mafunso osiyanasiyana,Ubushakashatsi,Incwaningo,Tsvakurudzo,Ubushakashatsi,Fanadihadiana,सर्वेक्षणहरू,سروے,Tapuykuna,Опросы,Izinhlolovo,መጽናዕትታት,Пурсишҳо,ڕاپرسییەکان,ការស្ទង់មតិ,So‘rovnomalar,Izertlew,Survei,,,,,,,Дослідження
,,,Quizzes,Preguntas,Tests,Questionários,الإختبارات,Maswali,Mafunso,Ibazwa,Imibuzo,Mibvunzo,Ibibazo,Fanontaniana,क्विजहरू,کوئز,Examenkuna,Тесты,Imibuzo,ሕቶታት,Тестҳои кӯтоҳ,کویزەکان,កម្រងសំណួរខ្លីៗ,Boshqotirmalar,Viktorinalar,Kuis,,,,,,,Тести
,TRUE,,polls,encuestas,sondages,votações,استطلاعات الرأي,utafiti,kafukufuku ofunsa maganizo a anthu,amatora,ikhetho,sarudzo,amatora,fitsapan-kevitra,चुनावहरू,پولز,tapuykuna,Голосования,ukuvota,መረጻታት,назарсанҷиҳо,دەنگدانەکان,ការបោះឆ្នោតស្ទង់មតិ,tanlovlar,sorawnama,jajak pendapat,මත විමසුම්,கருத்துக்கணிப்புக்கள்,জরিপ,نظر سنجی ها,ټولپوښتنې,पोल,Опитування
